City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hermanus,-34.4187,19.2345,289.97,66,57,3.82,ZA,1698215514
1,ust-nera,64.5667,143.2,252.38,100,54,0.99,RU,1698215515
2,adamstown,-25.066,-130.1015,295.62,82,0,4.23,PN,1698215515
3,birmitrapur,22.4,84.7667,303.06,50,21,1.57,IN,1698215516
4,tura,25.5198,90.2201,300.21,72,16,1.0,IN,1698215291
5,songea,-10.6833,35.65,300.81,41,99,3.54,TZ,1698215516
6,muynoq,43.7683,59.0214,291.5,53,100,4.39,UZ,1698215517
7,puerto natales,-51.7236,-72.4875,277.95,76,33,3.52,CL,1698215517
8,port-aux-francais,-49.35,70.2167,277.5,89,100,13.77,TF,1698215248
9,luderitz,-26.6481,15.1594,293.07,52,0,5.32,NA,1698215344
10,kingston,17.997,-76.7936,300.68,91,20,3.09,JM,1698215518
11,longyearbyen,78.2186,15.6401,269.06,86,75,3.09,SJ,1698215518
12,bredasdorp,-34.5322,20.0403,290.6,61,10,2.87,ZA,1698215519
13,nguigmi,14.2495,13.1092,300.71,22,26,6.65,NE,1698215519
14,gizo,-8.103,156.8419,301.13,78,100,2.81,SB,1698215519
15,hamilton,39.1834,-84.5333,291.91,69,75,3.6,US,1698215408
16,shingu,33.7333,135.9833,292.01,81,0,0.14,JP,1698215520
17,ushuaia,-54.8,-68.3,277.96,60,20,1.03,AR,1698215264
18,wailua homesteads,22.0669,-159.378,296.59,80,40,2.57,US,1698215521
19,at-bashi,41.1702,75.8106,285.7,34,0,0.85,KG,1698215521
20,greeneville,36.1632,-82.831,285.65,96,39,1.69,US,1698215522
21,albany,42.6001,-73.9662,283.09,86,1,1.32,US,1698215401
22,merizo village,13.2658,144.6691,303.7,88,34,2.36,GU,1698215523
23,blackwater,-23.5833,148.8833,309.09,21,4,1.68,AU,1698215523
24,keflavik,64.0049,-22.5624,279.39,81,100,5.14,IS,1698215524
25,west island,-12.1568,96.8225,302.14,70,69,5.14,CC,1698215254
26,saint-denis,48.9167,2.3333,287.08,94,100,6.69,FR,1698215524
27,malpe,13.35,74.7167,304.76,52,0,2.13,IN,1698215525
28,chulakkurgan,43.765,69.1814,291.07,44,100,7.78,KZ,1698215525
29,san patricio,28.017,-97.5169,300.28,81,10,6.73,US,1698215525
30,invercargill,-46.4,168.35,291.49,55,100,6.71,NZ,1698215487
31,edinburgh of the seven seas,-37.0676,-12.3116,284.12,70,81,10.25,SH,1698215526
32,whitehorse,60.7161,-135.0538,266.58,62,75,1.54,CA,1698215323
33,nuriootpa,-34.4833,139.0,286.69,32,66,8.83,AU,1698215527
34,la ronge,55.1001,-105.2842,267.27,79,40,2.57,CA,1698215527
35,turpan,42.9333,89.1667,294.26,27,5,1.59,CN,1698215307
36,alta,69.9689,23.2717,269.74,81,20,5.14,NO,1698215528
37,vydrino,51.485,104.8461,278.52,54,61,4.53,RU,1698215528
38,waitangi,-43.9535,-176.5597,285.83,96,100,2.68,NZ,1698215528
39,carnarvon,-24.8667,113.6333,298.06,54,0,6.75,AU,1698215305
40,enniscorthy,52.5008,-6.5578,281.75,100,52,1.46,IE,1698215529
41,petropavlovsk-kamchatsky,53.0452,158.6483,278.4,58,75,3.0,RU,1698215287
42,tamanrasset,22.785,5.5228,292.1,22,0,3.09,DZ,1698215530
43,taoudenni,22.6783,-3.9836,302.36,24,90,4.22,ML,1698215530
44,kapa'a,22.0752,-159.319,297.33,80,40,2.57,US,1698215531
45,vilyuysk,63.7553,121.6247,268.71,95,100,2.24,RU,1698215531
46,laojunmiao,39.8333,97.7333,285.63,20,6,2.97,CN,1698215531
47,isangel,-19.55,169.2667,299.21,78,100,10.29,VU,1698215532
48,lihue,21.9789,-159.3672,296.92,80,40,2.57,US,1698215532
49,puerto ayora,-0.7393,-90.3518,296.23,98,100,2.68,EC,1698215533
50,la passe,45.5549,-0.8967,289.25,88,23,10.86,FR,1698215533
51,hermitage,41.2334,-80.4487,291.82,51,100,3.09,US,1698215533
52,margaret river,-33.95,115.0667,297.71,37,13,5.34,AU,1698215256
53,port elizabeth,-33.918,25.5701,292.77,61,0,3.6,ZA,1698215392
54,akune,32.0167,130.2,294.04,56,0,3.18,JP,1698215534
55,blackmans bay,-43.0167,147.3167,281.89,69,96,1.34,AU,1698215243
56,nova vicosa,-17.8919,-39.3719,296.47,81,50,6.17,BR,1698215535
57,alice springs,-23.7,133.8833,298.9,19,71,7.72,AU,1698215290
58,port mathurin,-19.6833,63.4167,298.02,79,10,6.61,MU,1698215536
59,berdigestyakh,62.0989,126.6992,269.34,91,100,2.2,RU,1698215536
60,klaksvik,62.2266,-6.589,282.66,92,91,7.95,FO,1698215537
61,hadibu,12.65,54.0333,301.51,75,55,6.39,YE,1698215537
62,sansanne-mango,10.3592,0.4708,298.77,77,75,2.27,TG,1698215537
63,grytviken,-54.2811,-36.5092,274.7,87,95,5.31,GS,1698215538
64,port lincoln,-34.7333,135.8667,286.41,46,45,9.76,AU,1698215290
65,isafjordur,66.0755,-23.124,275.82,83,100,1.79,IS,1698215244
66,amursk,50.2261,136.8994,279.81,61,21,1.53,RU,1698215539
67,praya,14.9215,-23.5087,299.45,78,40,6.17,CV,1698215539
68,east london,-33.0153,27.9116,292.67,52,0,6.17,ZA,1698215413
69,salekhard,66.53,66.6019,266.73,93,96,5.96,RU,1698215540
70,kununurra,-15.7667,128.7333,313.14,21,30,1.54,AU,1698215540
71,talnakh,69.4865,88.3972,266.26,94,100,1.47,RU,1698215540
72,asino,56.9979,86.1452,275.45,97,100,6.8,RU,1698215541
73,la'ie,21.6477,-157.9253,299.13,75,4,1.19,US,1698215541
74,fort bragg,35.139,-79.006,283.04,93,0,0.0,US,1698215541
75,ra-ngae,6.2968,101.7284,305.37,57,96,2.77,TH,1698215542
76,labasa,-16.4167,179.3833,297.42,81,100,4.51,FJ,1698215542
77,remire-montjoly,4.9167,-52.2667,298.17,94,40,0.0,GF,1698215543
78,sandnessjoen,66.0217,12.6316,276.21,87,75,1.54,NO,1698215543
79,bairnsdale,-37.8333,147.6167,285.96,59,100,2.68,AU,1698215543
80,kafanchan,9.5833,8.3,295.79,56,100,0.71,NG,1698215544
